4.91773e+3,2.25865e+0
6.70875e+3,2.26856e+0
6.79201e+3,1.87164e+1
9.82122e+3,1.87961e+1
9.80777e+3,6.90088e+1
1.44599e+4,6.96514e+1
1.45211e+4,1.26551e+2
2.10995e+4,1.27089e+2
2.13973e+4,2.12946e+2
3.10909e+4,2.13851e+2
3.12443e+4,2.00233e+2
4.56199e+4,2.00066e+2
4.58536e+4,1.56919e+2
6.72774e+4,1.55208e+2
6.79854e+4,7.52692e+1
9.87852e+4,7.52074e+1
9.98433e+4,3.05521e+1
1.45076e+5,3.05270e+1
1.46530e+5,2.37020e+1
2.13950e+5,2.35628e+1
2.15079e+5,1.59584e+1
3.14041e+5,1.57846e+1
3.17473e+5,5.23724e+0
4.59072e+5,5.18030e+0
4.64539e+5,6.84262e-1
6.84882e+5,6.90633e-1
6.83292e+5,6.27323e+0
9.92843e+5,6.29988e+0
1.00285e+6,4.62655e+0
1.46428e+6,4.59937e+0
1.46722e+6,6.82534e-1
