Default Dataset,
X,Y
2.142857142857143,23.435713698808208
2.4316770186335406,23.07988632999786
2.751552795031056,53.54046892271268
3.0869565217391304,52.99714710698566
3.3478260869565215,55.77003100510775
3.6521739130434785,146.96718524215922
3.9440993788819876,193.56271514803694
4.24223602484472,197.55183275060693
4.546583850931677,297.07644418960206
4.86335403726708,201.62316173998747
5.136645962732919,169.5258304038923
5.459627329192546,111.58839925077457
5.751552795031056,74.96552253799804
5.937888198757763,43.660488804295305
6.068322981366459,29.033636798786564
6.136645962732919,17.08276393808707
6.260869565217391,9.949131259469622
6.3478260869565215,6.752387610443257
6.639751552795031,12.451970847350307
6.652173913043478,5.506349675300588
