gal0_emosaics,,gal1_emosaics,,gal2_emosaics,,gal3_emosaics,,gal4_emosaics,,gal5_emosaics,,gal6_emosaics,,gal7_emosaics,,gal8_emosaics,,gal9_emosaics,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.232645862074988,1354.1561298796091,2.2443265650249415,671.1643153148095,2.237370898615895,2023.8703622574003,2.241341564867117,1238.2406595540504,2.263233941941415,939.5798687029688,2.246744757159768,360.03254527027025,2.2326986580481964,963.0415968849055,2.2200871214782563,315.9949293651176,2.2413415648671133,444.9596164065133,2.2624731502017,770.1628189721953
2.4388523130118935,1935.828555069546,2.451731890676596,875.6715839583135,2.4102086699922722,2872.900580825037,2.4481457156618127,1681.7184684497809,2.4700380927361074,1269.703909426142,2.45536297945266,490.9919396959928,2.440103983699851,1194.9855477942338,2.4102086699922722,466.5175197875726,2.4481457156618056,589.8348201096733,2.4686796011386036,980.6301519151585
2.6450587639487995,2712.1985890088913,2.6591372163282507,1148.2412250025432,2.600330218506288,3976.757019521257,2.6549498664565085,2330.3408241292636,2.6768422435307997,1640.0455020246823,2.6639812017455524,666.2448393540684,2.6475093093515056,1631.1367217959096,2.60033021850629,665.5669591156528,2.6549498664565014,785.8254796143246,2.674886052075511,1286.89547409356
2.851265214885705,3613.409524756298,2.8665425419799053,1505.6534149886338,2.807735544157943,5351.75883340846,2.8617540172512044,3149.1126547621343,2.8836463943254955,1974.6795513811082,2.872599424038445,881.7141713851338,2.8549146350031602,2226.4763035019064,2.8077355441579446,909.3203295489542,2.8617540172511937,985.5782982031119,2.8810925030124146,1646.8417068160334
3.0574716658226104,4036.5166958631044,3.07394786763156,1849.6248938045571,3.015140869809599,6224.052086281124,3.0685581680459,3642.4457717537684,3.090450545120188,2139.77592334902,3.081217646331337,1066.3649633329956,3.062319960654815,2627.4889109871383,3.0151408698095974,1073.621630857869,3.068558168045886,1026.0729715607717,3.087298953949322,1886.5610884058435
3.2636781167595164,3996.087362716705,3.2813531932832145,2024.483716632408,3.222546195461252,6512.477315578233,3.275362318840596,3697.6988009690426,3.2972546959148836,2172.2346362621347,3.2898358686242295,1132.3564160030091,3.2697252863064694,2790.5810616630656,3.2225461954612538,1187.3234412033025,3.275362318840582,985.5782982031119,3.2935054048862256,1964.0746407877791
3.469884567696422,3559.2583832160753,3.488758518934869,1974.3170308677186,3.429951521112905,5918.536411654968,3.482166469635292,3464.1628700622973,3.504058846709576,2107.802226200956,3.498454090917122,1115.4852338740445,3.477130611958124,2721.430491534388,3.4299515211129066,1229.9013220664922,3.482166469635274,904.7550402955062,3.4997118558231293,1954.2139035325088
3.6760910186333273,2939.6506191279987,3.6961638445865237,1887.1289573965182,3.637356846764561,4987.628318682964,3.6889706204299877,3086.5284202298076,3.7108629975042717,1974.6795513811082,3.7070723132100145,1184.516469470174,3.6845359376097786,2721.430491534388,3.637356846764563,1267.6098496749328,3.6889706204299664,785.8254796143246,3.7059183067600365,1905.6478599954269
3.882297469570233,2297.1382504552653,3.9035691702381783,1803.7912078787504,3.844762172416214,4078.1059405894553,3.8957747712246835,2736.294129776967,3.917667148298964,1733.1261254963933,3.9156905355029066,1264.1292716403254,3.891941263261433,2680.7653950650156,3.8447621724162193,1280.4345495026473,3.895774771224662,668.925332985461,3.9121247576969402,1830.4401605782439
4.088503920507139,1615.0087184189663,4.110974495889833,1785.7773377181306,4.05216749806787,3368.17543498796,4.102578922019379,2401.5759114141047,4.124471299093656,1410.819717122277,4.124308757795799,1322.3592153809243,4.099346588913088,2536.79011785744,4.052167498067872,1217.582757810835,4.1025789220193545,546.9429957401328,4.1183312086338475,1697.3335429121705
4.294710371444045,1236.8662228792916,4.3183798215414875,1639.7444151283498,4.259572823719523,2795.868840844817,4.309383072814075,2014.719295502632,4.331275449888352,1213.6323484706745,4.332926980088692,1461.542927728461,4.306751914564742,2138.859433025436,4.2595728237195285,1089.9558866588497,4.309383072814047,465.57923488189306,4.324537659570751,1489.134988562774
4.50091682238095,976.3059250932699,4.525785147193144,1460.9930101570915,4.466978149371176,2297.5612875074094,4.516187223608771,1648.2966526606087,4.538079600683044,1038.7793021335376,4.541545202381584,1583.3658705328805,4.514157240216397,1697.9550889481807,4.466978149371181,918.5201320565589,4.516187223608743,384.52962351022626,4.530744110507655,1229.9013220664972
4.707123273317856,740.2220274145992,4.733190472844798,1368.7209293197182,4.674383475022832,2036.131196339014,4.72299137440347,1410.8197171222728,4.74488375147774,800.1849295883295,4.750163424674476,1591.3085124195184,4.721562565868052,1341.1911381725167,4.674383475022838,682.5291453578327,4.722991374403435,275.84244794352264,4.736950561444562,904.75504029551
4.913329724254761,566.904446210447,4.940595798496453,1177.417621607625,4.881788800674485,1768.4828518868487,4.929795525198166,1148.4520629742913,4.9516879022724325,592.1362023847742,4.958781646967369,1521.235415734182,4.928967891519706,1043.5582931704744,4.864505023536855,486.66423327643577,4.929795525198127,201.8998292536297,4.943157012381466,642.525736065267
5.119536175191667,442.9975042848702,5.148001124148108,916.1288712568612,5.089194126326138,1340.8399236607897,5.136599675992862,875.8323731867954,5.158492053067125,431.63278323542437,5.167399869260261,1342.3592678111347,5.119089440033724,820.9895073322854,5.037342794913231,340.77557216986366,5.136599675992819,146.2982146090125,5.132179592406963,460.9160414873564
5.325742626128573,316.1889479975627,5.355406449799762,644.7524838523005,5.296599451977794,1026.8920489095747,5.343403826787558,619.4937470380572,5.348062524628929,309.93369476129794,5.376018091553153,1077.0902146575484,5.274643434272464,572.8869718372341,5.21018056628961,238.62035187150124,5.308936468321733,98.05298378545228,5.286834430609641,323.2336871782021
