Default Dataset,
X,Y
5896.677711317314,0.7103422639075315
8027.591662762694,8.101462046409337
11605.388354645544,11.141314390266977
17094.442901587256,31.010596849484116
24508.310566057764,22.26358780407152
36230.3446211347,21.758034072006073
54187.12685828905,15.448134970856135
79289.58988098697,13.672532795987008
118682.18035895312,7.702400213103006
170542.1024492338,2.855139982100317
254835.66137504438,2.6406892014676147
385128.10304414044,1.9593031268963665
547704.6388743838,0.6873695495209589
839276.881242794,4.228832962368483
1227238.5969764497,4.563715473066194
1677988.396966209,0.6855308907320192
